location,dates,job-title,summary,pros,cons,overall-ratings,pros_clean,pros_lemmas,cons_clean,cons_lemmas,full_review_lemmas,pros_vader,cons_vader,cons_textblob,sentiment_final
"Redmond, WA",2018-08-28,Current Employee - Program Manager,Program Manager II,-Great work life balance -Great benefits -Great CEO -Great stock to receive bonus on,"-Low stock refreshers compared to the industry -Slower career progression -Great work life balance is exploited by some ""slackers"" which demotivates teams sometimes",5.0,great work life balance great benefits great ceo great stock to receive bonus on,great work life balance great benefit great ceo great stock receive bonus,low stock refreshers compared to the industry slower career progression great work life balance is exploited by some slackers which demotivates teams sometimes,low stock refresher compare industry slow career progression great work life balance exploit slacker demotivate team sometimes,great work life balance great benefit great ceo great stock receive bonus low stock refresher compare industry slow career progression great work life balance exploit slacker demotivate team sometimes,0.9735,0.0,0.4,Neutral
none,2018-08-28,Current Employee - Anonymous Employee,Good job,This is a very good job,I really like my job,5.0,this is a very good job,good job,i really like my job,really like job,good job really like job,0.4927,0.4201,0.2,Positivo
"Redmond, WA",2018-08-28,Current Employee - Program Manager,Program Manager II,-Great work life balance -Great benefits -Great CEO -Great stock to receive bonus on,"-Low stock refreshers compared to the industry -Slower career progression -Great work life balance is exploited by some ""slackers"" which demotivates teams sometimes",5.0,great work life balance great benefits great ceo great stock to receive bonus on,great work life balance great benefit great ceo great stock receive bonus,low stock refreshers compared to the industry slower career progression great work life balance is exploited by some slackers which demotivates teams sometimes,low stock refresher compare industry slow career progression great work life balance exploit slacker demotivate team sometimes,great work life balance great benefit great ceo great stock receive bonus low stock refresher compare industry slow career progression great work life balance exploit slacker demotivate team sometimes,0.9735,0.0,0.4,Neutral
none,2018-08-28,Current Employee - Anonymous Employee,Good job,This is a very good job,I really like my job,5.0,this is a very good job,good job,i really like my job,really like job,good job really like job,0.4927,0.4201,0.2,Positivo
none,2018-09-11,Current Employee - Anonymous Employee,Good company,Lots of senior people to help onboard and mature,Not the most exciting products except for a few ones,4.0,lots of senior people to help onboard and mature,lot senior people help onboard mature,not the most exciting products except for a few ones,not exciting product except one,lot senior people help onboard mature not exciting product except one,0.6705,-0.43,0.20000000000000004,Negativo
"Redmond, WA",2018-09-11,Current Employee - Security Engineer,Great working place,I'm born in the generation that looks up to my current employer,can't think of any as of the moment,4.0,im born in the generation that looks up to my current employer,bear generation look current employer,cant think of any as of the moment,can not think moment,bear generation look current employer can not think moment,0.0,0.0,0.0,Neutral
"Redmond, WA",2018-09-11,Current Employee - Security Researcher,Ok place to work.,"Great healthcare benefits, ok base pay.","Always swamped at work, office politics is rampant.",3.0,great healthcare benefits ok base pay,great healthcare benefit ok base pay,always swamped at work office politics is rampant,always swamp work office politic rampant,great healthcare benefit ok base pay always swamp work office politic rampant,0.8176,0.0,0.0,Neutral
none,2018-08-27,Current Employee - Anonymous Employee,Great place to work,"Teamwork, comradery, benefits, no micromanagement",A lot of the side work expected can take away from work-life balance,5.0,teamwork comradery benefits no micromanagement,teamwork comradery benefit no micromanagement,a lot of the side work expected can take away from worklife balance,lot side work expect take away worklife balance,teamwork comradery benefit no micromanagement lot side work expect take away worklife balance,0.1027,0.0,-0.1,Neutral
none,2018-08-27,Former Employee - Anonymous Employee,sales,"share,price pension plan, friedly environment","long hours, hard job, too much work",5.0,shareprice pension plan friedly environment,shareprice pension plan friedly environment,long hours hard job too much work,long hour hard job much work,shareprice pension plan friedly environment long hour hard job much work,0.0,-0.1027,-0.04722222222222222,Negativo
"Rochester, NY",2018-09-09,Current Employee - Senior Account Executive,Microsoft,Great technologies and solutions that are highly scalable and integrated,An engineering company trying to be a sales organization with solutions but living in a silod compensation plan which makes it hard,4.0,great technologies and solutions that are highly scalable and integrated,great technology solution highly scalable integrated,an engineering company trying to be a sales organization with solutions but living in a silod compensation plan which makes it hard,engineering company try sale organization solution live silod compensation plan make hard,great technology solution highly scalable integrated engineering company try sale organization solution live silod compensation plan make hard,0.7003,-0.0644,-0.2916666666666667,Negativo
"San Diego, CA",2018-09-09,Former Employee - Anonymous Employee,Embarrassing Management,snacks an drinks provided for employees,"management and leadership should be ashamed. they bully their employees and play major favorites. they talk about cleaning house so they have employees that will follow everything they say (even when they are completely in the wrong) when it should be the managements team to be ""cleaned"".",3.0,snacks an drinks provided for employees,snack drink provide employee,management and leadership should be ashamed they bully their employees and play major favorites they talk about cleaning house so they have employees that will follow everything they say even when they are completely in the wrong when it should be the managements team to be cleaned,management leadership ashamed bully employee play major favorite talk clean house employee follow everything say even completely wrong management team clean,snack drink provide employee management leadership ashamed bully employee play major favorite talk clean house employee follow everything say even completely wrong management team clean,0.0,-0.2732,-0.1125,Negativo
none,2018-09-06,Former Employee - Anonymous Employee,Awesome at first,Feeling of something good. Working for an enterprise size corporation is great. Discounted software,"Race to not be the one with the target on your back. The company has a policy to eliminate a certain percentage of employees every year. Even if you're doing well, if someone doesn't care for you in any way you're out. It's a very stressful way to live. They say they hire from within but they let you know ""new blood"" is better.",3.0,feeling of something good working for an enterprise size corporation is great discounted software,feeling something good work enterprise size corporation great discounted software,race to not be the one with the target on your back the company has a policy to eliminate a certain percentage of employees every year even if youre doing well if someone doesnt care for you in any way youre out its a very stressful way to live they say they hire from within but they let you know new blood is better,race not one target back company policy eliminate certain percentage employee every year even well someone not care way stressful way live say hire within let know new blood well,feeling something good work enterprise size corporation great discounted software race not one target back company policy eliminate certain percentage employee every year even well someone not care way stressful way live say hire within let know new blood well,0.8271,0.429,0.19783549783549784,Positivo
none,2018-09-08,Former Employee - Anonymous Employee,Better if people in my store did not steal and take advantage,I loved the tech and wished I could have worked in it more.,"I was an ICE agent. I was so grateful to have worked there but I soon found due to a personal issue with co workers, I was not trained as well as I should. I am lucky I knew Inventory. I had several workers take others badges and when I spoke upon it, It was shoved under the rug. Security is so important in this position and I had a lot of issues with unauthorized access, manager badge sharing and policies being ignored. I know I ruined any chance to work there but the honest truth is, I left because I was afraid it would be my head when senior co workers were the ones breaking the policies. I worked in government so these are very important to follow.",3.0,i loved the tech and wished i could have worked in it more,love tech wish could work,i was an ice agent i was so grateful to have worked there but i soon found due to a personal issue with co workers i was not trained as well as i should i am lucky i knew inventory i had several workers take others badges and when i spoke upon it it was shoved under the rug security is so important in this position and i had a lot of issues with unauthorized access manager badge sharing and policies being ignored i know i ruined any chance to work there but the honest truth is i left because i was afraid it would be my head when senior co workers were the ones breaking the policies i worked in government so these are very important to follow,ice agent grateful work soon find due personal issue co worker not train well lucky know inventory several worker take other badge speak upon shove rug security important position lot issue unauthorized access manager badge sharing policy ignore know ruin chance work honest truth leave afraid would head senior co worker one break policy work government important follow,love tech wish could work ice agent grateful work soon find due personal issue co worker not train well lucky know inventory several worker take other badge speak upon shove rug security important position lot issue unauthorized access manager badge sharing policy ignore know ruin chance work honest truth leave afraid would head senior co worker one break policy work government important follow,0.5994,0.9571,0.12537037037037038,Positivo
"Redmond, WA",2018-08-24,Former Employee - Janitor,Microsoft Loves Janitors,Clean Easy Staff doesn't talk down to help,More bleach needed at times.,5.0,clean easy staff doesnt talk down to help,clean easy staff not talk help,more bleach needed at times,bleach need time,clean easy staff not talk help bleach need time,0.8074,0.0,0.5,Neutral
"Redmond, WA",2018-08-24,Current Employee - Software Engineer-II,Great company,Expectations and work life balance are reasonable.,Slightly lower pay than other companies in the area.,5.0,expectations and work life balance are reasonable,expectation work life balance reasonable,slightly lower pay than other companies in the area,slightly low pay company area,expectation work life balance reasonable slightly low pay company area,0.0,-0.2567,-0.14583333333333331,Negativo
"China, TX",2018-09-07,Current Employee - Senior,No,the work and life balance,the salary is mush lowball,4.0,the work and life balance,work life balance,the salary is mush lowball,salary mush lowball,work life balance salary mush lowball,0.0,-0.2023,0.0,Negativo
"Newport Coast, CA",2018-08-23,Current Employee - Sales,Sales,"+ lots of smart people + customer sentiment is now strong + CEO is brilliant and builds strong culture + very good benefits + GREAT technology to sell + company is an awesome world citizen, gives billions to the needy which feels really good","- performance model still feels too forced, just do away with forced curves and hold managers more accountable. if they allow low performers to stick around m, remove the manager instead of forcing a curve where it doesn’t apply - pay could be a bit higher, especially given company performance over the past several years",5.0, lots of smart people  customer sentiment is now strong  ceo is brilliant and builds strong culture  very good benefits  great technology to sell  company is an awesome world citizen gives billions to the needy which feels really good,lot smart people customer sentiment strong ceo brilliant build strong culture good benefit great technology sell company awesome world citizen give billion needy feel really good, performance model still feels too forced just do away with forced curves and hold managers more accountable if they allow low performers to stick around m remove the manager instead of forcing a curve where it doesn’t apply  pay could be a bit higher especially given company performance over the past several years,performance model still feel force away force curve hold manager accountable allow low performer stick around remove manager instead force curve not apply pay could bit high especially give company performance past several year,lot smart people customer sentiment strong ceo brilliant build strong culture good benefit great technology sell company awesome world citizen give billion needy feel really good performance model still feel force away force curve hold manager accountable allow low performer stick around remove manager instead force curve not apply pay could bit high especially give company performance past several year,0.9837,-0.765,-0.012500000000000011,Negativo
none,2018-08-23,Current Employee - Anonymous Employee,Finance Manager,"Lots of resources, internal mobility, etc.","things can be weirdly political as far as org roles and responsibilities, funding, etc.",5.0,lots of resources internal mobility etc,lot resource internal mobility etc,things can be weirdly political as far as org roles and responsibilities funding etc,thing weirdly political far org role responsibility fund etc,lot resource internal mobility etc thing weirdly political far org role responsibility fund etc,0.0,-0.296,0.05,Negativo
"Redmond, WA",2018-08-23,Current Employee - Senior Software Engineer,Awesome,Good work life balance and have good work.,A little less salary compare to competitive companies.,5.0,good work life balance and have good work,good work life balance good work,a little less salary compare to competitive companies,little less salary compare competitive company,good work life balance good work little less salary compare competitive company,0.7003,0.1779,-0.17708333333333331,Positivo
"Redmond, WA",2018-09-06,Former Employee - Director,Director,It was a great ride,"It has gotten way too big and even Satya took over, political play all over the place",4.0,it was a great ride,great ride,it has gotten way too big and even satya took over political play all over the place,get way big even satya take political play place,great ride get way big even satya take political play place,0.6249,0.34,0.0,Positivo
"Bellevue, WA",2018-09-06,Current Employee - Senior Software Engineer,A great company,"Microsoft is a great company and a great company to work for. As a person who appreciates diversity and ethics, it would be hard to find a better company than Microsoft.","Lean has become the key attribute of success at many of today’s leading companies. At Microsoft however, it’s noticeably absent. Most of the Product managers I’ve worked with don’t even understand SCRUM, a methodology derived from TPS \ Lean. MS would be wise to look at how companies like Amazon and Nordstrom have implemented Lean in every area of the company.",4.0,microsoft is a great company and a great company to work for as a person who appreciates diversity and ethics it would be hard to find a better company than microsoft,microsoft great company great company work person appreciate diversity ethic would hard find well company microsoft,lean has become the key attribute of success at many of today’s leading companies at microsoft however it’s noticeably absent most of the product managers i’ve worked with don’t even understand scrum a methodology derived from tps  lean ms would be wise to look at how companies like amazon and nordstrom have implemented lean in every area of the company,lean become key attribute success many today ’s lead company microsoft however ’ noticeably absent product manager ’ve work not even understand scrum methodology derive tps lean ms would wise look company like amazon nordstrom implement lean every area company,microsoft great company great company work person appreciate diversity ethic would hard find well company microsoft lean become key attribute success many today ’s lead company microsoft however ’ noticeably absent product manager ’ve work not even understand scrum methodology derive tps lean ms would wise look company like amazon nordstrom implement lean every area company,0.9325,0.875,0.4,Positivo
none,2018-08-22,Current Employee - Anonymous Employee,Great,Working for Microsoft is the best,There agent any cons at this time,5.0,working for microsoft is the best,work microsoft good,there agent any cons at this time,agent con time,work microsoft good agent con time,0.6369,0.0,0.0,Neutral
none,2018-08-23,Current Employee - Anonymous Employee,Microsoft review,"Great benefits, great pay, and good place to network and grow your career",Can't really think of any yet,5.0,great benefits great pay and good place to network and grow your career,great benefit great pay good place network grow career,cant really think of any yet,can not really think yet,great benefit great pay good place network grow career can not really think yet,0.9231,0.0,0.2,Neutral
"Redmond, WA",2018-08-23,Former Employee - Anonymous Employee,Technical Solution Professional,"Work life balance, technology, opportunity for growth, and people.",Stack ranking system and tactical thinking within sales organization.,5.0,work life balance technology opportunity for growth and people,work life balance technology opportunity growth people,stack ranking system and tactical thinking within sales organization,stack rank system tactical thinking within sale organization,work life balance technology opportunity growth people stack rank system tactical thinking within sale organization,0.6597,0.0,0.0,Neutral
none,2018-09-04,Current Employee - Anonymous Employee,Great Place to work,Freedom to experiment Fast Paced life,Things run on excel worksheets,4.0,freedom to experiment fast paced life,freedom experiment fast pace life,things run on excel worksheets,thing run excel worksheet,freedom experiment fast pace life thing run excel worksheet,0.6369,0.4588,0.0,Positivo
"Costa Mesa, CA",2018-08-17,Former Employee - SERVICE ADVISOR,Wonderful,"Great pay for full time, Microsoft Corp level benefits, ability to do what needs to be done to find right solution for customer, great culture","Very strict late policy, kinda forced to do volunteer outings",5.0,great pay for full time microsoft corp level benefits ability to do what needs to be done to find right solution for customer great culture,great pay full time microsoft corp level benefit ability need do find right solution customer great culture,very strict late policy kinda forced to do volunteer outings,strict late policy kinda force volunteer outing,great pay full time microsoft corp level benefit ability need do find right solution customer great culture strict late policy kinda force volunteer outing,0.9325,-0.4033,-0.13333333333333333,Negativo
none,2018-08-20,Current Employee - Anonymous Employee,"Stable company, good pay, comfortable job","There are a lot of really smart people working there, and the benefits are great.","There are some corporate politics that happens, but its part of a company of this size.",5.0,there are a lot of really smart people working there and the benefits are great,lot really smart people work benefit great,there are some corporate politics that happens but its part of a company of this size,corporate politic happen part company size,lot really smart people work benefit great corporate politic happen part company size,0.8655,0.0,0.0,Neutral
"Issaquah, WA",2018-08-20,Current Employee - Support Engineer,Great place to work,"Work life balance, drinks, good benefits, flexible remoting","Not at main campus, support is still support at the end of the day and comes with a mitigated version of the norm.",5.0,work life balance drinks good benefits flexible remoting,work life balance drink good benefit flexible remote,not at main campus support is still support at the end of the day and comes with a mitigated version of the norm,not main campus support still support end day come mitigated version norm,work life balance drink good benefit flexible remote not main campus support still support end day come mitigated version norm,0.7506,0.6597,0.16666666666666666,Positivo
none,2018-09-25,Current Employee - Senior Account Executive,Toxic Sales Culture,The name. Only the name. The lie is that you'll get paid a ton of money. The truth is its 100% biased on whether you manager likes you,"Get rid of your re-branded rankings. The zero rewards is a scarlet letter and unfair. It's a way to give people your manager likes (even if they under-perform) a ton of money and leave you with nothing to force you to quit. There's no way out of it. None. Many of the managers are immoral and protected and they have ALL power in their hands with no accountability for their actions (I've even heard managers joke about it over dinner). If they don't like you, they will take all your credit, give you all their blame, and bully you until you quit. I've personally stopped 2 suicide attempts from manager bullying since I've been here. This is not a game, this is people's livelihood. I've also seen people given offers to fake positions just to let go of them one month later into the new role. Look it up! There is so much corruption and bias.",1.0,the name only the name the lie is that youll get paid a ton of money the truth is its  biased on whether you manager likes you,name name lie get pay ton money truth bias whether manager like,get rid of your rebranded rankings the zero rewards is a scarlet letter and unfair its a way to give people your manager likes even if they underperform a ton of money and leave you with nothing to force you to quit theres no way out of it none many of the managers are immoral and protected and they have all power in their hands with no accountability for their actions ive even heard managers joke about it over dinner if they dont like you they will take all your credit give you all their blame and bully you until you quit ive personally stopped  suicide attempts from manager bullying since ive been here this is not a game this is peoples livelihood ive also seen people given offers to fake positions just to let go of them one month later into the new role look it up there is so much corruption and bias,get rid rebranded ranking zero reward scarlet letter unfair way give people manager like even underperform ton money leave nothing force quit no way none many manager immoral protect power hand no accountability action even hear manager joke dinner not like take credit give blame bully quit personally stop suicide attempt manager bullying since not game people livelihood also see people give offer fake position let go one month later new role look much corruption bias,name name lie get pay ton money truth bias whether manager like get rid rebranded ranking zero reward scarlet letter unfair way give people manager like even underperform ton money leave nothing force quit no way none many manager immoral protect power hand no accountability action even hear manager joke dinner not like take credit give blame bully quit personally stop suicide attempt manager bullying since not game people livelihood also see people give offer fake position let go one month later new role look much corruption bias,0.4588,-0.9524,0.018939393939393943,Negativo
"Saint Paul, MN",2018-08-19,Current Employee - Senior Software Engineer,A good bit of work,You are building something magnificent that affects millions of people’s lives. Enjoy that.,Finding a role that excites you is complicated.,5.0,you are building something magnificent that affects millions of people’s lives enjoy that,build something magnificent affect million people ’s life enjoy,finding a role that excites you is complicated,find role excite complicated,build something magnificent affect million people ’s life enjoy find role excite complicated,0.7964,0.4767,-0.5,Positivo
"Redmond, WA",2018-09-02,Current Employee - Senior Technical Program Manager,Microsoft employee,Technical work which is the best,Too much politics and power play,4.0,technical work which is the best,technical work good,too much politics and power play,much politic power play,technical work good much politic power play,0.6369,0.34,0.2,Positivo
"New York, NY",2018-09-03,Current Employee - Customer Success,Customer Success,over all culture and company is good,NY Metro is worst place to work. Its RACIST white man club .. if you are anything else treated like POS.,3.0,over all culture and company is good,culture company good,ny metro is worst place to work its racist white man club  if you are anything else treated like pos,ny metro bad place work racist white man club anything else treat like pos,culture company good ny metro bad place work racist white man club anything else treat like pos,0.4404,-0.8091,-0.5,Negativo
"Redmond, WA",2018-08-18,Current Employee - Principal Software Engineering Manager,Best company to learn real software engineering,A lot of opportunities,Still many old habits of long timers,5.0,a lot of opportunities,lot opportunity,still many old habits of long timers,still many old habit long timer,lot opportunity still many old habit long timer,0.3818,0.0,0.18333333333333332,Neutral
"Fort Lauderdale, FL",2018-08-18,Current Employee - Anonymous Employee,Assistant store manager,"Great Benefits, competitive salaries","Talent retention, strategy aligment",5.0,great benefits competitive salaries,great benefit competitive salary,talent retention strategy aligment,talent retention strategy aligment,great benefit competitive salary talent retention strategy aligment,0.8126,0.4215,0.0,Positivo
none,2018-09-01,Former Employee - Anonymous Employee,Data Scientist,More work life balance. More determanated work scope,Less promotion. Less growth directions,3.0,more work life balance more determanated work scope,work life balance determanate work scope,less promotion less growth directions,less promotion less growth direction,work life balance determanate work scope less promotion less growth direction,0.0,0.2601,-0.16666666666666666,Positivo
"Redmond, WA",2018-08-17,Current Employee - Senior Program Manager,Great Company with Great Benifits,Good senior leadership Good strategic direction Good focus on diversity and culture,"It's a big company so sometimes bureaucracy can get in the way Middle management is still the fastest way to career advancement, so that basically encourages mediocrity in 1st level managers",5.0,good senior leadership good strategic direction good focus on diversity and culture,good senior leadership good strategic direction good focus diversity culture,its a big company so sometimes bureaucracy can get in the way middle management is still the fastest way to career advancement so that basically encourages mediocrity in st level managers,big company sometimes bureaucracy get way middle management still fast way career advancement basically encourage mediocrity st level manager,good senior leadership good strategic direction good focus diversity culture big company sometimes bureaucracy get way middle management still fast way career advancement basically encourage mediocrity st level manager,0.8271,0.4336,-0.06666666666666667,Positivo
none,2018-08-17,Current Employee - Anonymous Employee,j,hours are greater what it is,pay not the best for job,5.0,hours are greater what it is,hour great,pay not the best for job,pay not good job,hour great pay not good job,0.3612,-0.5815,1.0,Negativo
"Redmond, WA",2018-08-31,Former Employee - Software Development Engineer,Hi,"Great benefits, work/life balance was good, lots of smart folks","Traffic in Seattle area is awful, making commute difficult. Cost of living (mainly housing) is approaching California-like levels of absurdity",4.0,great benefits worklife balance was good lots of smart folks,great benefit worklife balance good lot smart folk,traffic in seattle area is awful making commute difficult cost of living mainly housing is approaching californialike levels of absurdity,traffic seattle area awful make commute difficult cost live mainly housing approach californialike level absurdity,great benefit worklife balance good lot smart folk traffic seattle area awful make commute difficult cost live mainly housing approach californialike level absurdity,0.9062,-0.6705,-0.3333333333333333,Negativo
"Dallas, TX",2018-08-16,Current Employee - Senior Consultant,Excellent Company,Excellent Company to work for,None that I can say of,5.0,excellent company to work for,excellent company work,none that i can say of,none say,excellent company work none say,0.5719,0.0,0.0,Neutral
none,2018-08-30,Current Employee - Anonymous Employee,"Progressive place to work, great opportunities for technical development.",Endless opportunities for advancing technical training and knowledge. Work with some of the most intelligent minds in the industry and with the newest technologies. Self development and growth is part of the culture.,"Although they try to allow for work-life balance, this industry and company by nature is 24x7 and achieving a happy medium between work and life a difficult.",4.0,endless opportunities for advancing technical training and knowledge work with some of the most intelligent minds in the industry and with the newest technologies self development and growth is part of the culture,endless opportunity advance technical training knowledge work intelligent mind industry new technology self development growth part culture,although they try to allow for worklife balance this industry and company by nature is x and achieving a happy medium between work and life a difficult,although try allow worklife balance industry company nature x achieve happy medium work life difficult,endless opportunity advance technical training knowledge work intelligent mind industry new technology self development growth part culture although try allow worklife balance industry company nature x achieve happy medium work life difficult,0.8173,0.4767,0.15000000000000002,Positivo
none,2018-08-30,Current Employee - Anonymous Employee,Senior SDE,"Flexible, decent pay and benefits",Slow moving at times. Always at the risk of reorg,4.0,flexible decent pay and benefits,flexible decent pay benefit,slow moving at times always at the risk of reorg,slow move time always risk reorg,flexible decent pay benefit slow move time always risk reorg,0.4767,-0.2732,-0.30000000000000004,Negativo
"Redmond, WA",2018-08-09,Current Employee - Software Engineer,Microsoft is a great place to work with Solid work life balance,"Microsoft has a great work life balance, Interesting challenging work, and good policies and team interaction. I like my teammates, management, and compensation. I'm pretty happy working here. The benefits are also very good.","At Microsoft you don't get a lot of the flashy things that other companies get, like free lunch or a gym on campus. Also management has gotten more stingy in the last few years and now our morale events are very lack luster and boring.",5.0,microsoft has a great work life balance interesting challenging work and good policies and team interaction i like my teammates management and compensation im pretty happy working here the benefits are also very good,microsoft great work life balance interesting challenging work good policy team interaction like teammate management compensation pretty happy work benefit also good,at microsoft you dont get a lot of the flashy things that other companies get like free lunch or a gym on campus also management has gotten more stingy in the last few years and now our morale events are very lack luster and boring,microsoft not get lot flashy thing company get like free lunch gym campus also management get stingy last year morale event lack luster bore,microsoft great work life balance interesting challenging work good policy team interaction like teammate management compensation pretty happy work benefit also good microsoft not get lot flashy thing company get like free lunch gym campus also management get stingy last year morale event lack luster bore,0.9756,-0.2467,-0.090625,Negativo
"Boston, MA",2018-08-15,Current Employee - Software Engineer,Software engineer,"Great company with work going on in a lot of difference areas, so an employee can switch internally and work on difference technologies","Typical of big companies, not many opportunities to make an impact at junior levels.",5.0,great company with work going on in a lot of difference areas so an employee can switch internally and work on difference technologies,great company work go lot difference area employee switch internally work difference technology,typical of big companies not many opportunities to make an impact at junior levels,typical big company not many opportunity make impact junior level,great company work go lot difference area employee switch internally work difference technology typical big company not many opportunity make impact junior level,0.6249,-0.2924,-0.13888888888888887,Negativo
none,2018-08-15,Current Employee - Anonymous Employee,Senior Software Engineer,Great company to work for. Microsoft really cares about its employees. They have great benefits and work-life balance is great. The atmosphere has really changed for the better the past few years.,As with any large company there is still a bit of politics to deal with.,5.0,great company to work for microsoft really cares about its employees they have great benefits and worklife balance is great the atmosphere has really changed for the better the past few years,great company work microsoft really care employee great benefit worklife balance great atmosphere really change well past year,as with any large company there is still a bit of politics to deal with,large company still bit politic deal,great company work microsoft really care employee great benefit worklife balance great atmosphere really change well past year large company still bit politic deal,0.9686,0.0,0.21428571428571427,Neutral
"Dallas, TX",2018-08-16,Current Employee - Senior Consultant,Excellent Company,Excellent Company to work for,None that I can say of,5.0,excellent company to work for,excellent company work,none that i can say of,none say,excellent company work none say,0.5719,0.0,0.0,Neutral
none,2018-08-29,Current Employee - Anonymous Employee,"Fun, Exciting, Challenging and Unreasonable",-Free food -Friendly co-workers -Lots of room for growth within the company,"-Management can be hit or miss, some managers are awesome while others are useless -You have to wear multiple hats in the company, despite your job title and description -Be ready to work hours than usual -Cut throat environment, be careful of who you trust within the organization",4.0,free food friendly coworkers lots of room for growth within the company,free food friendly coworker lot room growth within company,management can be hit or miss some managers are awesome while others are useless you have to wear multiple hats in the company despite your job title and description be ready to work hours than usual cut throat environment be careful of who you trust within the organization,management hit miss manager awesome other useless wear multiple hat company despite job title description ready work hour usual cut throat environment careful trust within organization,free food friendly coworker lot room growth within company management hit miss manager awesome other useless wear multiple hat company despite job title description ready work hour usual cut throat environment careful trust within organization,0.8442,0.7184,0.05833333333333333,Positivo
none,2018-08-29,Current Employee - Anonymous Employee,Customer Success Manager,"Great benefits, decent package and work life balance","changing jobs, pay is highly variant",4.0,great benefits decent package and work life balance,great benefit decent package work life balance,changing jobs pay is highly variant,change job pay highly variant,great benefit decent package work life balance change job pay highly variant,0.7717,-0.1027,0.16,Negativo
none,2018-08-30,Former Employee - Anonymous Employee,Program Manager,"Lot of learning, new technologies",teams do not share information internally with contractors,2.0,lot of learning new technologies,lot learn new technology,teams do not share information internally with contractors,team not share information internally contractor,lot learn new technology team not share information internally contractor,0.0,-0.2235,0.0,Negativo
none,2018-08-11,Current Employee - Anonymous Employee,Compassionate culture,dynamic positive customer obsess innovative compassionate,Hierarchically not lean. Red tapes to innovate.,5.0,dynamic positive customer obsess innovative compassionate,dynamic positive customer obsess innovative compassionate,hierarchically not lean red tapes to innovate,hierarchically not lean red tape innovate,dynamic positive customer obsess innovative compassionate hierarchically not lean red tape innovate,0.8834,0.4939,0.0,Positivo
"Redmond, WA",2018-08-29,Current Employee - Senior Program Manager Engineering,Ageing Out,Great benefits and great people to work with,"White Male in 40's, top of level being pushed out to bring in young hires - so that's good for the young and building a diverse workforce.",3.0,great benefits and great people to work with,great benefit great people work,white male in s top of level being pushed out to bring in young hires  so thats good for the young and building a diverse workforce,white male top level push bring young hire good young build diverse workforce,great benefit great people work white male top level push bring young hire good young build diverse workforce,0.8957,0.6096,0.2333333333333333,Positivo
"Seattle, WA",2018-08-30,Current Employee - SERVICE ADVISOR,Bland and mediocre,You get to say you work at Microsoft,Career growth and opportunities are limited,3.0,you get to say you work at microsoft,get say work microsoft,career growth and opportunities are limited,career growth opportunity limit,get say work microsoft career growth opportunity limit,0.0,0.5106,-0.07142857142857142,Positivo
none,2018-08-28,Current Employee - Anonymous Employee,Politics,Wfh culture. Benefits and health insurance,Politics Terrible review system Politics who you know is more important than what.,2.0,wfh culture benefits and health insurance,wfh culture benefit health insurance,politics terrible review system politics who you know is more important than what,politic terrible review system politic know important,wfh culture benefit health insurance politic terrible review system politic know important,0.3818,-0.2516,-0.033333333333333326,Negativo
none,2018-08-27,Former Employee - Anonymous Employee,Good benefits and a reasonably good work/life balance,Good benefits - perhaps one of the best even in the Bay Area.,"As with any big company, getting things done is always challenging given the hierarchical management system.",4.0,good benefits  perhaps one of the best even in the bay area,good benefit perhaps one good even bay area,as with any big company getting things done is always challenging given the hierarchical management system,big company get thing do always challenge give hierarchical management system,good benefit perhaps one good even bay area big company get thing do always challenge give hierarchical management system,0.8658,0.1531,0.25,Positivo
none,2018-09-18,Former Employee - Anonymous Employee,Level 66,Company is doing well. Good people.,"Long timers are not agile, and don't want new blood.Make",1.0,company is doing well good people,company well good people,long timers are not agile and dont want new bloodmake,long timer not agile not want new bloodmake,company well good people long timer not agile not want new bloodmake,0.6124,-0.0572,-0.05454545454545454,Negativo
"Redmond, WA",2018-07-20,Current Employee - SDEII,"Good company, moving fast and slow.",Very good work life balance.,"Sometimes is hard to get ideas through. The culture does not promote creativity. It's more like a manager manager's have an idea and then it goes down. Most of the time ideas that come from up are shut down fast and it kills creativity. I would suggest having a work env where you can easily switch teams and work on other projects. Have all code available for all, not just for x,y,z.",5.0,very good work life balance,good work life balance,sometimes is hard to get ideas through the culture does not promote creativity its more like a manager managers have an idea and then it goes down most of the time ideas that come from up are shut down fast and it kills creativity i would suggest having a work env where you can easily switch teams and work on other projects have all code available for all not just for xyz,sometimes hard get idea culture not promote creativity like manager manager idea go time idea come shut fast kill creativity would suggest work env easily switch team work project code available not xyz,good work life balance sometimes hard get idea culture not promote creativity like manager manager idea go time idea come shut fast kill creativity would suggest work env easily switch team work project code available not xyz,0.4927,-0.6439,0.14506172839506176,Negativo
